epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,144.428,0.50062,0.50635,0.8483,0.91935,0.99867,0.93119,0.80275,0.53805,0.62889,0.84423,0.000278079,0.000278079,0.000278079
44,147.396,0.51887,0.52115,0.85212,0.91337,1,0.93089,0.79712,0.53758,0.63301,0.84323,0.000273367,0.000273367,0.000273367
45,150.338,0.50472,0.51052,0.8433,0.89551,1,0.93023,0.80098,0.50881,0.56903,0.83849,0.000268654,0.000268654,0.000268654
46,153.4,0.50649,0.50269,0.84708,0.91404,1,0.93012,0.79449,0.50827,0.58661,0.84264,0.000263942,0.000263942,0.000263942
47,156.419,0.50791,0.49644,0.84617,0.94008,1,0.99202,0.83433,0.50974,0.56536,0.84005,0.00025923,0.00025923,0.00025923
48,159.593,0.49831,0.49792,0.84423,0.91564,1,0.99314,0.83586,0.52983,0.57984,0.84455,0.000254517,0.000254517,0.000254517
49,162.531,0.49282,0.48718,0.84302,0.95551,1,0.99276,0.85552,0.49691,0.58491,0.83614,0.000249805,0.000249805,0.000249805
50,165.497,0.48457,0.48637,0.84386,0.96054,0.99898,0.99346,0.8477,0.50126,0.56317,0.83625,0.000245092,0.000245092,0.000245092
51,168.602,0.50328,0.50646,0.8442,0.96484,0.99981,0.99347,0.85168,0.49584,0.59169,0.83844,0.00024038,0.00024038,0.00024038
52,171.586,0.49852,0.4888,0.84192,0.9202,0.99675,0.99141,0.83852,0.50886,0.63383,0.84239,0.000235668,0.000235668,0.000235668
53,174.73,0.47813,0.47783,0.8446,0.92232,0.99705,0.93032,0.81239,0.50161,0.59582,0.83997,0.000230955,0.000230955,0.000230955
54,177.762,0.48681,0.48444,0.84168,0.96412,0.99954,0.99348,0.84465,0.51412,0.61059,0.8421,0.000226243,0.000226243,0.000226243
55,180.84,0.4749,0.47527,0.84336,0.97279,1,0.99367,0.82521,0.49538,0.61191,0.83714,0.00022153,0.00022153,0.00022153
56,184.004,0.48394,0.47877,0.84239,0.96429,1,0.99336,0.8455,0.50728,0.61376,0.83978,0.000216818,0.000216818,0.000216818
57,186.95,0.47955,0.47094,0.83828,0.92619,0.99381,0.99268,0.84857,0.50281,0.62083,0.83924,0.000212106,0.000212106,0.000212106
