epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,72.8463,0.50281,0.54402,0.84466,0.93384,0.875,0.99406,0.82841,0.5076,0.43356,0.85886,0.000424187,0.000424187,0.000424187
43,74.4453,0.5504,0.54708,0.86171,0.98082,0.86557,0.99385,0.82739,0.51324,0.43503,0.8592,0.000417119,0.000417119,0.000417119
44,76.1198,0.51152,0.52976,0.86215,0.9692,0.873,0.99378,0.83853,0.53895,0.4512,0.8587,0.00041005,0.00041005,0.00041005
45,77.7078,0.55386,0.54098,0.86376,0.98551,0.86551,0.99367,0.8306,0.50317,0.41492,0.85793,0.000402982,0.000402982,0.000402982
46,79.3053,0.51459,0.5347,0.8633,0.98232,0.86626,0.99348,0.84064,0.51181,0.41125,0.85462,0.000395913,0.000395913,0.000395913
47,80.9338,0.50869,0.57004,0.87253,0.98273,0.87143,0.99358,0.83323,0.51602,0.42351,0.85603,0.000388844,0.000388844,0.000388844
48,82.6223,0.48567,0.67687,0.8683,0.86867,1,0.91056,0.78762,0.49183,0.4177,0.85332,0.000381776,0.000381776,0.000381776
49,84.2718,0.53902,0.5276,0.86233,0.85994,1,0.91076,0.78176,0.48209,0.39955,0.84513,0.000374707,0.000374707,0.000374707
50,85.9548,0.52616,0.52231,0.85988,0.85821,1,0.90018,0.77467,0.52699,0.41128,0.86384,0.000367639,0.000367639,0.000367639
51,87.6203,0.52565,0.5515,0.85043,0.83972,0.89315,0.90009,0.78787,0.4827,0.40811,0.84447,0.00036057,0.00036057,0.00036057
52,89.2573,0.51912,0.51004,0.84831,0.9849,0.87143,0.91067,0.79447,0.47354,0.41573,0.84936,0.000353501,0.000353501,0.000353501
53,90.9233,0.48931,0.50178,0.85185,0.9878,0.87143,0.91067,0.78961,0.47217,0.40198,0.84445,0.000346433,0.000346433,0.000346433
54,92.5413,0.47335,0.52382,0.85025,0.98785,0.87143,0.91067,0.79277,0.47365,0.38719,0.83969,0.000339364,0.000339364,0.000339364
55,94.1283,0.49074,0.49542,0.84645,0.9871,0.875,0.9931,0.85906,0.46828,0.3848,0.83862,0.000332296,0.000332296,0.000332296
56,95.7753,0.51427,0.51823,0.84376,0.98398,0.875,0.87374,0.75997,0.48861,0.39228,0.84342,0.000325227,0.000325227,0.000325227
57,97.3883,0.49579,0.50378,0.84968,0.9848,0.875,0.99241,0.81034,0.48579,0.38885,0.84571,0.000318158,0.000318158,0.000318158
58,98.9563,0.53002,0.51346,0.85098,0.89933,1,0.93023,0.81526,0.48759,0.39446,0.83855,0.00031109,0.00031109,0.00031109
59,100.515,0.51606,0.49813,0.85179,0.91271,1,0.9308,0.81161,0.49313,0.404,0.83978,0.000304021,0.000304021,0.000304021
60,102.122,0.45858,0.57886,0.84664,0.84972,0.92866,0.9302,0.80109,0.49945,0.39825,0.84792,0.000296953,0.000296953,0.000296953
61,103.729,0.50837,0.50894,0.85347,0.98267,0.875,0.9311,0.80094,0.50543,0.40776,0.84665,0.000289884,0.000289884,0.000289884
62,105.319,0.4966,0.50099,0.84166,0.98568,0.86644,0.99329,0.82449,0.49351,0.41585,0.84438,0.000282815,0.000282815,0.000282815
63,106.952,0.53092,0.56535,0.85851,0.98664,0.86766,0.99367,0.83509,0.47652,0.4037,0.83721,0.000275747,0.000275747,0.000275747
64,108.609,0.48324,0.48131,0.83642,0.91431,1,0.99367,0.84507,0.48405,0.38594,0.83906,0.000268678,0.000268678,0.000268678
65,110.212,0.50612,0.48379,0.83549,0.89392,1,0.99357,0.85188,0.47274,0.37705,0.83931,0.00026161,0.00026161,0.00026161
66,111.817,0.53137,0.48869,0.8546,0.90874,1,0.99218,0.85218,0.462,0.36196,0.83807,0.000254541,0.000254541,0.000254541
67,113.385,0.51634,0.49222,0.85148,0.91729,1,0.99318,0.8521,0.46416,0.37541,0.83805,0.000247472,0.000247472,0.000247472
68,114.976,0.43955,0.48194,0.84176,0.88981,1,0.99348,0.84027,0.48514,0.38357,0.83983,0.000240404,0.000240404,0.000240404
69,116.596,0.47377,0.47355,0.84477,0.98559,0.86653,0.99329,0.83299,0.47829,0.38507,0.83839,0.000233335,0.000233335,0.000233335
70,118.192,0.44508,0.47001,0.84839,0.98507,0.86786,0.99329,0.8298,0.48255,0.38915,0.83982,0.000226267,0.000226267,0.000226267
